dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
scifact,full,768,0.703264558006416,300,0.8435555555555555,0.9283333333333333
scifact,mrl,512,0.6975796584684608,300,0.8185555555555556,0.9233333333333333
scifact,mrl,256,0.6810454299737959,300,0.8039444444444445,0.9116666666666666
scifact,mrl,128,0.644502207637193,300,0.7825555555555556,0.8903333333333334
scifact,mrl,64,0.5306505230247267,300,0.6518888888888889,0.859888888888889
scifact,mrl,32,0.3567859513564689,300,0.4431111111111111,0.6846666666666666
scifact,mrl_no_renorm,512,0.6983306912303552,300,0.8068888888888889,0.9276666666666668
scifact,mrl_no_renorm,256,0.6539245370103434,300,0.7970555555555556,0.9033333333333333
scifact,mrl_no_renorm,128,0.5687881602866982,300,0.7201111111111111,0.8755555555555556
scifact,mrl_no_renorm,64,0.3864058354480191,300,0.5197777777777778,0.7563333333333333
scifact,mrl_no_renorm,32,0.09713177508255742,300,0.16416666666666666,0.35588888888888887
scifact,pca_in,512,0.6995669320531285,300,0.8445555555555556,0.93
scifact,pca_in,256,0.6823797336761532,300,0.8285555555555555,0.9333333333333333
scifact,pca_in,128,0.6576591209670252,300,0.7977222222222222,0.9233333333333333
scifact,pca_in,64,0.600395370853661,300,0.731111111111111,0.895
scifact,pca_in,32,0.4978236206824521,300,0.6396111111111111,0.8676666666666667
