dataset,fit_size,dim,ndcg@10,n_queries,recall@10,recall@100
fiqa,1000,512,0.4301675047746998,648,0.5093602599389636,0.7761867547747178
fiqa,1000,256,0.4156442961882734,648,0.5001769364037884,0.7708951370988408
fiqa,1000,128,0.38053643067154974,648,0.4563735475772513,0.7421626513061699
fiqa,1000,64,0.32539783807802775,648,0.40372685870371056,0.6937181088801458
fiqa,1000,32,0.22643207916062677,648,0.2891477563931268,0.6090155771868735
fiqa,5000,512,0.43391863061354724,648,0.5131724499780055,0.7779460422978941
fiqa,5000,256,0.4205580259626872,648,0.5026620884259774,0.7757323651999577
fiqa,5000,128,0.38385407634892266,648,0.4526123182373183,0.7483667224407965
fiqa,5000,64,0.3291893754549783,648,0.40400972484305814,0.6930996001597852
fiqa,5000,32,0.21901488248646814,648,0.29410439954421436,0.5905324656482064
fiqa,20000,512,0.4320784216424485,648,0.509222567555901,0.7803993503067577
fiqa,20000,256,0.4181789084757322,648,0.4944444958333848,0.7785816977946608
fiqa,20000,128,0.3826972806056903,648,0.4546471789527345,0.7434155907535538
fiqa,20000,64,0.3324450636488381,648,0.4081996235931421,0.6944058170910024
fiqa,20000,32,0.22645443714425859,648,0.29933355396318356,0.5954211340785414
fiqa,57638,512,0.43252768414115395,648,0.5105600161155717,0.7814281568911198
fiqa,57638,256,0.4185893547340602,648,0.49724370708167004,0.7775890219177256
fiqa,57638,128,0.38213534186212855,648,0.4520623024095246,0.7456661051568458
fiqa,57638,64,0.33197826082621934,648,0.41166199198606607,0.692320646603054
fiqa,57638,32,0.22858787197828193,648,0.29803214189788263,0.5981780907706833
