dataset,method,dim,group,ndcg@10,n_queries
fiqa,pca_half,512,seen,0.4492858791260746,175
fiqa,pca_half,512,unseen,0.4230453791879297,173
fiqa,mrl,512,seen,0.4672717995902948,175
fiqa,mrl,512,unseen,0.4312583071161963,173
fiqa,pca_half,256,seen,0.44466449625563087,175
fiqa,pca_half,256,unseen,0.4100629401056567,173
fiqa,mrl,256,seen,0.42531503961559824,175
fiqa,mrl,256,unseen,0.4114599953218111,173
fiqa,pca_half,128,seen,0.4005855167095575,175
fiqa,pca_half,128,unseen,0.3548708747498099,173
fiqa,mrl,128,seen,0.34696113083140884,175
fiqa,mrl,128,unseen,0.3496844452879072,173
fiqa,pca_half,64,seen,0.3626790121424766,175
fiqa,pca_half,64,unseen,0.3190082956699545,173
fiqa,mrl,64,seen,0.25651064550725416,175
fiqa,mrl,64,unseen,0.2280777239032837,173
fiqa,pca_half,32,seen,0.24697609061905765,175
fiqa,pca_half,32,unseen,0.2459918823627485,173
fiqa,mrl,32,seen,0.13354409402648734,175
fiqa,mrl,32,unseen,0.0946586771892528,173
