dataset,method,dim,quant,bytes,ndcg@10,n_queries,recall@10,recall@100
scifact,full,1536,int8,1536.0,0.7306080487438459,300,0.8575555555555555,0.9733333333333334
scifact,mrl,512,int8,512.0,0.719328724537484,300,0.8425555555555556,0.9583333333333334
scifact,mrl,128,int8,128.0,0.6213894509648353,300,0.7517777777777778,0.9176666666666667
scifact,pca_in,512,int8,512.0,0.7258244256194554,300,0.8625555555555555,0.95
scifact,pca_in,128,int8,128.0,0.694098879776884,300,0.8320000000000001,0.9366666666666666
scifact,full,1536,binary,192.0,0.7202157642994048,300,0.8486666666666668,0.9666666666666667
scifact,full,1536,binary_sym,192.0,0.7064041639793103,300,0.818,0.9666666666666667
scifact,mrl,512,binary,64.0,0.6862205264552644,300,0.8168888888888889,0.945
scifact,mrl,512,binary_sym,64.0,0.655028305311727,300,0.7732222222222223,0.93
scifact,mrl,256,binary,32.0,0.6183687644814823,300,0.7467777777777778,0.9276666666666668
scifact,mrl,256,binary_sym,32.0,0.5740671593350125,300,0.7070000000000001,0.8720000000000001
scifact,mrl,128,binary,16.0,0.5154242468702002,300,0.6397777777777778,0.8736666666666667
scifact,mrl,128,binary_sym,16.0,0.40390270279711227,300,0.5367222222222222,0.824
scifact,pca_in,512,binary,64.0,0.6936260378404855,300,0.8325555555555555,0.9410000000000001
scifact,pca_in,512,binary_sym,64.0,0.6371762011018373,300,0.7442222222222221,0.859888888888889
scifact,pca_in,256,binary,32.0,0.6748385462558425,300,0.8315555555555556,0.93
scifact,pca_in,256,binary_sym,32.0,0.6156117340999556,300,0.7607222222222222,0.8826666666666667
scifact,pca_in,128,binary,16.0,0.6393122107099659,300,0.7799444444444444,0.91
scifact,pca_in,128,binary_sym,16.0,0.5619014290473602,300,0.7071666666666666,0.8616666666666667
nfcorpus,full,1536,int8,1536.0,0.3839893670646095,323,0.1835243253687442,0.36191446403960453
nfcorpus,mrl,512,int8,512.0,0.37318757270828545,323,0.18289466571573615,0.3535261812235296
nfcorpus,mrl,128,int8,128.0,0.2988563769136798,323,0.14048623869166418,0.29133928192343017
nfcorpus,pca_in,512,int8,512.0,0.36592908828117826,323,0.1740251015543414,0.34379765773306503
nfcorpus,pca_in,128,int8,128.0,0.3404448000320605,323,0.16133155776742672,0.3411297072870594
nfcorpus,full,1536,binary,192.0,0.3712899469673108,323,0.18220333638981095,0.35929288697452744
nfcorpus,full,1536,binary_sym,192.0,0.3630311929342594,323,0.17555643045491767,0.3410162323916217
nfcorpus,mrl,512,binary,64.0,0.343864240939511,323,0.16209928834232631,0.33108387403378037
nfcorpus,mrl,512,binary_sym,64.0,0.31751950822423436,323,0.15099251262070637,0.29912017707442906
nfcorpus,mrl,256,binary,32.0,0.2989735333472138,323,0.14090701394804298,0.29174063070053746
nfcorpus,mrl,256,binary_sym,32.0,0.25391562181449745,323,0.1210525839829198,0.25467318756625584
nfcorpus,mrl,128,binary,16.0,0.24163786414639554,323,0.11795578954859463,0.24369157238900502
nfcorpus,mrl,128,binary_sym,16.0,0.16935454859291932,323,0.0755316947534344,0.2046231577697039
nfcorpus,pca_in,512,binary,64.0,0.3312472893537691,323,0.16151575586017577,0.28752797028680904
nfcorpus,pca_in,512,binary_sym,64.0,0.24237986891971305,323,0.1264491299351584,0.21049802418557415
nfcorpus,pca_in,256,binary,32.0,0.32789614256586,323,0.16888433120088475,0.2967118954915522
nfcorpus,pca_in,256,binary_sym,32.0,0.2568678458804481,323,0.12736295494753322,0.23808455747784396
nfcorpus,pca_in,128,binary,16.0,0.30965681607757584,323,0.15507113476292986,0.30351026056503766
nfcorpus,pca_in,128,binary_sym,16.0,0.24736139124270565,323,0.1203975379290564,0.2422668574755079
arguana,full,1536,int8,1536.0,0.5566017006339732,1406,0.8577524893314367,0.9921763869132291
arguana,mrl,512,int8,512.0,0.5503935965881452,1406,0.852773826458037,0.9921763869132291
arguana,mrl,128,int8,128.0,0.511367754756012,1406,0.794452347083926,0.9829302987197724
arguana,pca_in,512,int8,512.0,0.5583525466324156,1406,0.8598862019914651,0.9928876244665719
arguana,pca_in,128,int8,128.0,0.5297746075376168,1406,0.8285917496443812,0.9893314366998578
arguana,full,1536,binary,192.0,0.5450437995730879,1406,0.8435277382645804,0.9914651493598862
arguana,full,1536,binary_sym,192.0,0.5355309846547343,1406,0.8349928876244666,0.9900426742532006
arguana,mrl,512,binary,64.0,0.522744188819213,1406,0.8264580369843528,0.9886201991465149
arguana,mrl,512,binary_sym,64.0,0.5017133727658448,1406,0.8058321479374111,0.9793741109530584
arguana,mrl,256,binary,32.0,0.4820241360181627,1406,0.7702702702702703,0.9779516358463727
arguana,mrl,256,binary_sym,32.0,0.43451048086638905,1406,0.716927453769559,0.9566145092460882
arguana,mrl,128,binary,16.0,0.415539226905984,1406,0.686344238975818,0.9480796586059744
arguana,mrl,128,binary_sym,16.0,0.3495463127370352,1406,0.5881934566145093,0.8933143669985776
arguana,pca_in,512,binary,64.0,0.5336786927592758,1406,0.8250355618776671,0.9864864864864865
arguana,pca_in,512,binary_sym,64.0,0.4993688591529929,1406,0.7716927453769559,0.9352773826458037
arguana,pca_in,256,binary,32.0,0.5149601248417036,1406,0.8051209103840683,0.9829302987197724
arguana,pca_in,256,binary_sym,32.0,0.4786024976668505,1406,0.7667140825035562,0.9487908961593172
arguana,pca_in,128,binary,16.0,0.4676797385127535,1406,0.7645803698435277,0.9829302987197724
arguana,pca_in,128,binary_sym,16.0,0.4185435609318704,1406,0.6891891891891891,0.9395448079658606
fiqa,full,1536,int8,1536.0,0.4482914348243312,648,0.5218286043517525,0.780207579628876
fiqa,mrl,512,int8,512.0,0.4357461022581115,648,0.5092530925864259,0.7645361325916881
fiqa,mrl,128,int8,128.0,0.3399604086280543,648,0.3975800005892598,0.6752191866775199
fiqa,pca_in,512,int8,512.0,0.4314093799690743,648,0.5096598103542549,0.7817882391956466
fiqa,pca_in,128,int8,128.0,0.3827134567597031,648,0.45393987442598555,0.7474665166794797
fiqa,full,1536,binary,192.0,0.4289209048748971,648,0.4995922030644253,0.7603865184883704
fiqa,full,1536,binary_sym,192.0,0.40956014116592965,648,0.4799383615355838,0.7416641700206515
fiqa,mrl,512,binary,64.0,0.39420522700249705,648,0.4557398791195087,0.7267341326369104
