method,dim,quant,bytes,size_vs_full_float32,quality_retained,mean_ndcg_at_10,datasets
full,1536,binary,192.0,0.03125,0.9760972265965194,0.51896814208602,8
mrl,512,binary,64.0,0.010416666666666666,0.9224629776751645,0.4944590556155768,8
mrl,256,binary,32.0,0.005208333333333333,0.8216539264670324,0.44739718476635737,8
mrl,128,binary,16.0,0.0026041666666666665,0.6928732445043937,0.38808161294546906,8
pca_in,512,binary,64.0,0.010416666666666666,0.9210513003190393,0.48853698988095645,8
pca_in,256,binary,32.0,0.005208333333333333,0.8928262175256331,0.4764672948686426,8
pca_in,128,binary,16.0,0.0026041666666666665,0.8221926510072526,0.445384726249905,8
full,1536,binary_sym,192.0,0.03125,0.9499255908730033,0.5076947210318357,8
mrl,512,binary_sym,64.0,0.010416666666666666,0.8692638968622587,0.47103025048796304,8
mrl,256,binary_sym,32.0,0.005208333333333333,0.7357809563568634,0.405397327737025,8
mrl,128,binary_sym,16.0,0.0026041666666666665,0.5516789959013636,0.313727133886583,8
pca_in,512,binary_sym,64.0,0.010416666666666666,0.8177944336158874,0.44170285883701405,8
pca_in,256,binary_sym,32.0,0.005208333333333333,0.7871380469174754,0.42934281167164906,8
pca_in,128,binary_sym,16.0,0.0026041666666666665,0.688351388151292,0.38531252521055087,8
full,1536,int8,1536.0,0.25,1.0008529202221157,0.5297534902155631,8
mrl,512,int8,512.0,0.08333333333333333,0.9812491924447425,0.5217814697831595,8
mrl,128,int8,128.0,0.020833333333333332,0.8573288415295542,0.4672701803528921,8
pca_in,512,int8,512.0,0.08333333333333333,0.9680535564573328,0.5136123301746113,8
pca_in,128,int8,128.0,0.020833333333333332,0.8995315720699009,0.4831489108807681,8
