dataset,method,dim,group,ndcg@10,n_queries
fiqa,pca_half,512,seen,0.4650438268579403,175
fiqa,pca_half,512,unseen,0.3978533941477044,173
fiqa,mrl,512,seen,0.44654187797990597,175
fiqa,mrl,512,unseen,0.3956018344486565,173
fiqa,pca_half,256,seen,0.43862239584045654,175
fiqa,pca_half,256,unseen,0.38678107508173565,173
fiqa,mrl,256,seen,0.38744584954621386,175
fiqa,mrl,256,unseen,0.33874585421593234,173
fiqa,pca_half,128,seen,0.40898412056644423,175
fiqa,pca_half,128,unseen,0.34877832389993424,173
fiqa,mrl,128,seen,0.33546778431503743,175
fiqa,mrl,128,unseen,0.3176205998833314,173
fiqa,pca_half,64,seen,0.3165921526117381,175
fiqa,pca_half,64,unseen,0.2965878728495003,173
fiqa,mrl,64,seen,0.1961573922673457,175
fiqa,mrl,64,unseen,0.18758586813122066,173
fiqa,pca_half,32,seen,0.20773620686192099,175
fiqa,pca_half,32,unseen,0.19909282156447972,173
fiqa,mrl,32,seen,0.0728583177747999,175
fiqa,mrl,32,unseen,0.057724502723817045,173
