dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
scifact,full,1536,0.7277042403761673,300,0.8481111111111111,0.9633333333333334
scifact,mrl,512,0.7080214671614933,300,0.8360555555555556,0.9483333333333334
scifact,mrl,256,0.6646695702366004,300,0.7988333333333333,0.921
scifact,mrl,128,0.622060958327395,300,0.762888888888889,0.8782222222222221
scifact,mrl,64,0.499559925867613,300,0.6126666666666666,0.8065555555555555
scifact,mrl,32,0.2900554552215263,300,0.3899444444444444,0.6609444444444444
scifact,pca_in,512,0.7109196976534424,300,0.8400555555555556,0.96
scifact,pca_in,256,0.696395702170291,300,0.8417222222222221,0.96
scifact,pca_in,128,0.682890932864805,300,0.8246111111111111,0.96
scifact,pca_in,64,0.6322767226009421,300,0.7806111111111111,0.9383333333333334
scifact,pca_in,32,0.5729295550952503,300,0.737611111111111,0.9033333333333333
scifact,pca_ood,512,0.7127191737783187,300,0.8314444444444444,0.9566666666666667
scifact,pca_ood,256,0.6933046260704634,300,0.8106111111111112,0.95
scifact,pca_ood,128,0.6769306754487447,300,0.8075555555555556,0.935
scifact,pca_ood,64,0.6187662392763355,300,0.7502222222222222,0.8966666666666666
scifact,pca_ood,32,0.4684265483070865,300,0.6096666666666666,0.8122222222222222
nfcorpus,full,1536,0.37048314991552467,323,0.1818988313958975,0.3515951649140115
nfcorpus,mrl,512,0.3529102966329034,323,0.17557787736501745,0.3367601752847553
nfcorpus,mrl,256,0.3216131946723546,323,0.15829719928347225,0.3063499919861215
nfcorpus,mrl,128,0.29104033282796254,323,0.1440349654801365,0.2751009901884833
nfcorpus,mrl,64,0.21707851791176108,323,0.09922717548845328,0.22835445210328376
nfcorpus,mrl,32,0.12312084698651532,323,0.050498504229248044,0.1649344109547486
nfcorpus,pca_in,512,0.35066584137461865,323,0.17157525254954062,0.33184352266325307
nfcorpus,pca_in,256,0.34651402298381334,323,0.16618883663648032,0.33123432428521166
nfcorpus,pca_in,128,0.3311912973292199,323,0.16071345507168272,0.3320278676748341
nfcorpus,pca_in,64,0.29838306281269694,323,0.14295647668916067,0.3133492439290423
nfcorpus,pca_in,32,0.23539605695086635,323,0.10842337686283324,0.27560630577052514
nfcorpus,pca_ood,512,0.374459775225371,323,0.18617869478644267,0.3469151207729533
nfcorpus,pca_ood,256,0.368475824536058,323,0.17988238609332674,0.3434351082324101
nfcorpus,pca_ood,128,0.33998646068228133,323,0.16634988477379573,0.32761786644261587
nfcorpus,pca_ood,64,0.2770234474083355,323,0.14116522544533525,0.2900388714080829
nfcorpus,pca_ood,32,0.16943913299712893,323,0.08786821590427916,0.22528059014097904
arguana,full,1536,0.5757204918476109,1406,0.8634423897581792,0.9907539118065434
arguana,mrl,512,0.5562487183034832,1406,0.8470839260312945,0.9900426742532006
arguana,mrl,256,0.5395914485258259,1406,0.8328591749644382,0.9857752489331437
arguana,mrl,128,0.4769931427068484,1406,0.7624466571834992,0.9694167852062588
arguana,mrl,64,0.3950353475607205,1406,0.6344238975817923,0.9025604551920341
arguana,mrl,32,0.2523016749530173,1406,0.42034139402560455,0.7403982930298719
arguana,pca_in,512,0.55708871016724,1406,0.8456614509246089,0.9900426742532006
arguana,pca_in,256,0.546399514992741,1406,0.8342816500711238,0.9900426742532006
arguana,pca_in,128,0.5221240894062344,1406,0.813655761024182,0.9893314366998578
arguana,pca_in,64,0.46703491826809923,1406,0.7546230440967283,0.9829302987197724
arguana,pca_in,32,0.3777267477156326,1406,0.6408250355618776,0.9623044096728307
arguana,pca_ood,512,0.56534798122353,1406,0.8513513513513513,0.9907539118065434
arguana,pca_ood,256,0.5525551719522598,1406,0.837126600284495,0.9907539118065434
arguana,pca_ood,128,0.5235689400933277,1406,0.8036984352773826,0.9871977240398293
arguana,pca_ood,64,0.4794316255634378,1406,0.7539118065433855,0.9722617354196301
arguana,pca_ood,32,0.3945630942672264,1406,0.6564722617354196,0.9331436699857752
fiqa,full,1536,0.443978742889479,648,0.5201243372539669,0.7651262831818388
fiqa,mrl,512,0.4142075488627573,648,0.4909894203875685,0.7487505935422601
fiqa,mrl,256,0.3607823092560291,648,0.4187555628527851,0.6945477961681664
fiqa,mrl,128,0.30856236740626064,648,0.37475570982515427,0.6242269733010474
fiqa,mrl,64,0.18498933554207647,648,0.2282372120335083,0.45535713429231944
fiqa,mrl,32,0.07217876422842237,648,0.09329265984358577,0.25131866590199925
fiqa,pca_in,512,0.4308666850438721,648,0.507168110524592,0.7710505886431812
fiqa,pca_in,256,0.41379658743533193,648,0.48332796747148604,0.7591237808830402
fiqa,pca_in,128,0.3733534089703936,648,0.44304401017363976,0.7350706221076592
fiqa,pca_in,64,0.3047753588482482,648,0.3880285395331692,0.6776876158820603
fiqa,pca_in,32,0.18895700431531434,648,0.25168884185087886,0.5742559052744238
fiqa,pca_ood,512,0.4360405157409812,648,0.5036602757667572,0.7631036701638554
fiqa,pca_ood,256,0.408508421668648,648,0.4710323155925008,0.7491431322449841
fiqa,pca_ood,128,0.35015528338244345,648,0.4241023508384619,0.710652387735721
fiqa,pca_ood,64,0.2641687305952926,648,0.3214274751311788,0.5994352783704635
fiqa,pca_ood,32,0.12926636391941088,648,0.17057167369667367,0.4214154415543304
scidocs,full,1536,0.18365054879325435,1000,0.19408333333333333,0.4240333333333334
scidocs,mrl,512,0.17554931607431284,1000,0.18535000000000001,0.40255
scidocs,mrl,256,0.15570004602457285,1000,0.16360000000000002,0.3735
scidocs,mrl,128,0.13265551760674568,1000,0.13575,0.3154
scidocs,mrl,64,0.09193963397800617,1000,0.096,0.23823333333333338
scidocs,mrl,32,0.04370421614560422,1000,0.04721666666666667,0.14701666666666668
scidocs,pca_in,512,0.18287709616980835,1000,0.19401666666666667,0.43085
scidocs,pca_in,256,0.17769247995694135,1000,0.1904,0.42755
scidocs,pca_in,128,0.1644939000876337,1000,0.1741,0.4088
scidocs,pca_in,64,0.13593590645937795,1000,0.14481666666666665,0.36175
scidocs,pca_in,32,0.09337520839970934,1000,0.10385,0.2984666666666667
scidocs,pca_ood,512,0.18461479529145464,1000,0.19576666666666667,0.4176
scidocs,pca_ood,256,0.17930703543634188,1000,0.18936666666666668,0.40270000000000006
scidocs,pca_ood,128,0.15449229514985957,1000,0.16405,0.37191666666666673
scidocs,pca_ood,64,0.11178008049291989,1000,0.11963333333333334,0.2923666666666667
scidocs,pca_ood,32,0.0579298365285226,1000,0.06428333333333333,0.1957
trec-covid,full,1536,0.6883999591464892,50,0.019238890707453736,0.13440298192682845
trec-covid,mrl,512,0.6339554233858206,50,0.017434600095938467,0.12241388078248734
trec-covid,mrl,256,0.6131042318311378,50,0.016747738224464456,0.1101763001171607
trec-covid,mrl,128,0.6065890033355601,50,0.015783696660645063,0.11240631046819129
trec-covid,mrl,64,0.49546762204418004,50,0.012857052514128801,0.0765165424874912
trec-covid,mrl,32,0.30891227679754474,50,0.007054251544793084,0.04390132690735005
trec-covid,pca_in,512,0.6665428895702139,50,0.017948204008152113,0.13053254379399593
trec-covid,pca_in,256,0.6412558408769974,50,0.017244157067662035,0.12436669364906304
trec-covid,pca_in,128,0.5860754973374545,50,0.015431460367541257,0.1113433645765169
trec-covid,pca_in,64,0.4998359241466057,50,0.012344466366835078,0.088478957404079
trec-covid,pca_in,32,0.3895633812857798,50,0.009077228741581407,0.06401286236230658
trec-covid,pca_ood,512,0.7137127625761062,50,0.01942016485696688,0.1437947982984673
trec-covid,pca_ood,256,0.7193657385546571,50,0.019657265939862122,0.1402393734960733
