dataset,fit_size,dim,ndcg@10,n_queries,recall@10,recall@100
fiqa,1000,512,0.6352202609329429,648,0.7097714142853031,0.917686051945311
fiqa,1000,256,0.61964864289307,648,0.6998055185555185,0.9106957728485509
fiqa,1000,128,0.5862256782820409,648,0.6693596184336925,0.8940015488626599
fiqa,1000,64,0.5383227244247812,648,0.6283610636619896,0.8751743883688328
fiqa,1000,32,0.4418615931009844,648,0.5359772557689224,0.8148472241064835
fiqa,5000,512,0.6364514514478052,648,0.715657045286675,0.9211582741675335
fiqa,5000,256,0.6235252726983386,648,0.7033199396625323,0.9160498537813353
fiqa,5000,128,0.5930953844160333,648,0.6770223903325755,0.9023863225252114
fiqa,5000,64,0.5369789263353117,648,0.6340280732641844,0.878572512021586
fiqa,5000,32,0.4332590826074113,648,0.527334762288466,0.8157259963972926
fiqa,20000,512,0.6378439534533275,648,0.7177017983730947,0.9219298791058049
fiqa,20000,256,0.6245248604382695,648,0.7040939941402904,0.9180903201736534
fiqa,20000,128,0.593878218614649,648,0.6726339461293166,0.9036594706733597
fiqa,20000,64,0.5364682046223528,648,0.6286415359332027,0.8768223160584272
fiqa,20000,32,0.44164876140429676,648,0.5353795681341978,0.8224051839792581
fiqa,57638,512,0.6404045533550574,648,0.7209596858902415,0.922444282397986
fiqa,57638,256,0.6233591150006208,648,0.7057443713693714,0.9165642570735164
fiqa,57638,128,0.5948460465223154,648,0.6794468220394146,0.9036080303441413
fiqa,57638,64,0.5373260952443376,648,0.6282300132994578,0.8738369398091621
fiqa,57638,32,0.4387424074168369,648,0.5318951367562479,0.8181216460151645
