dataset,method,dim,group,ndcg@10,n_queries
fiqa,pca_half,512,seen,0.6524324126926504,175
fiqa,pca_half,512,unseen,0.6492179642483,173
fiqa,mrl,512,seen,0.6488109833001714,175
fiqa,mrl,512,unseen,0.6493552446187844,173
fiqa,pca_half,256,seen,0.6470118153836958,175
fiqa,pca_half,256,unseen,0.6220921431329193,173
fiqa,mrl,256,seen,0.6212070258151373,175
fiqa,mrl,256,unseen,0.6229322552764286,173
fiqa,pca_half,128,seen,0.6124624169055478,175
fiqa,pca_half,128,unseen,0.5970635435760033,173
fiqa,mrl,128,seen,0.6031420267989218,175
fiqa,mrl,128,unseen,0.5770954132116282,173
fiqa,pca_half,64,seen,0.5357177489255598,175
fiqa,pca_half,64,unseen,0.5548056574676412,173
fiqa,mrl,64,seen,0.5304865017944369,175
fiqa,mrl,64,unseen,0.5192598607796693,173
fiqa,pca_half,32,seen,0.43742445482710474,175
fiqa,pca_half,32,unseen,0.4532627598450657,173
fiqa,mrl,32,seen,0.3709837332595925,175
fiqa,mrl,32,unseen,0.340799143252119,173
