dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
scifact,full,4096,0.7863231467367362,300,0.9205555555555555,0.9766666666666667
scifact,mrl,512,0.771753684472355,300,0.9044444444444446,0.9766666666666667
scifact,mrl,256,0.751393666899719,300,0.8855555555555554,0.9733333333333334
scifact,mrl,128,0.736625605480445,300,0.883888888888889,0.9633333333333334
scifact,mrl,64,0.6691479447305858,300,0.8200555555555555,0.9233333333333333
scifact,mrl,32,0.5414768761043893,300,0.6904444444444444,0.8652222222222222
scifact,pca_in,512,0.766304235090649,300,0.907222222222222,0.97
scifact,pca_in,256,0.7547011254036385,300,0.8966666666666666,0.97
scifact,pca_in,128,0.7419592798391731,300,0.8822222222222221,0.9666666666666667
scifact,pca_in,64,0.7048456823918188,300,0.8522222222222222,0.955
scifact,pca_in,32,0.6471271777163388,300,0.8025555555555555,0.94
scifact,pca_ood,512,0.7737359257282571,300,0.908888888888889,0.97
scifact,pca_ood,256,0.7568471771684213,300,0.893888888888889,0.9633333333333334
scifact,pca_ood,128,0.7283461982418215,300,0.8667222222222222,0.95
scifact,pca_ood,64,0.6495115566037093,300,0.7833888888888888,0.9166666666666666
scifact,pca_ood,32,0.42968780471974166,300,0.5565,0.7888888888888889
nfcorpus,full,4096,0.41496615483468363,323,0.2036046236365144,0.39382800569873905
nfcorpus,mrl,512,0.40314665950716855,323,0.20292211427847798,0.3714314266947164
nfcorpus,mrl,256,0.3690545429657128,323,0.18084224205071114,0.3497417457553352
nfcorpus,mrl,128,0.34199400578432587,323,0.16787754707953767,0.32682791688904955
nfcorpus,mrl,64,0.29950204681581305,323,0.14469567035101594,0.2931710881431969
nfcorpus,mrl,32,0.22201579483200218,323,0.0943456363640609,0.245814501504727
nfcorpus,pca_in,512,0.3978500137394985,323,0.1958354838439946,0.38212896859942624
nfcorpus,pca_in,256,0.3929719416893293,323,0.190672349669153,0.38266687498642
nfcorpus,pca_in,128,0.36999020574105185,323,0.17694092419200902,0.3738705539250823
nfcorpus,pca_in,64,0.32860034603885335,323,0.1527020740671139,0.3560987967563647
nfcorpus,pca_in,32,0.2666655782576194,323,0.12054831811816905,0.31224170019814357
nfcorpus,pca_ood,512,0.4040198664726471,323,0.19818899486704233,0.3845550171074408
nfcorpus,pca_ood,256,0.38693416281978876,323,0.19144092472630025,0.37282984780928263
nfcorpus,pca_ood,128,0.35461644979178497,323,0.17605753704087881,0.347148369586406
nfcorpus,pca_ood,64,0.2758242967709737,323,0.13600158150147418,0.29273122389944756
nfcorpus,pca_ood,32,0.15857002822223304,323,0.07552398515606605,0.22628498865225813
arguana,full,4096,0.7688814613032534,1406,0.9708392603129445,0.9964438122332859
arguana,mrl,512,0.7649934252582333,1406,0.9722617354196301,0.9964438122332859
arguana,mrl,256,0.758423747556153,1406,0.9715504978662873,0.9964438122332859
arguana,mrl,128,0.7204532687909133,1406,0.9473684210526315,0.9950213371266002
arguana,mrl,64,0.6775979620462723,1406,0.9167852062588905,0.9921763869132291
arguana,mrl,32,0.5856903581676425,1406,0.8399715504978663,0.984352773826458
arguana,pca_in,512,0.7530023622471042,1406,0.965149359886202,0.9964438122332859
arguana,pca_in,256,0.740652351832293,1406,0.9623044096728307,0.9964438122332859
arguana,pca_in,128,0.7219000484491382,1406,0.957325746799431,0.9964438122332859
arguana,pca_in,64,0.6849386986452937,1406,0.9288762446657184,0.9950213371266002
arguana,pca_in,32,0.6184588822573777,1406,0.8741109530583214,0.9943100995732574
arguana,pca_ood,512,0.758266889155215,1406,0.9672830725462305,0.9964438122332859
arguana,pca_ood,256,0.7510969609273557,1406,0.9644381223328592,0.9964438122332859
arguana,pca_ood,128,0.717355639836072,1406,0.9509246088193457,0.9950213371266002
arguana,pca_ood,64,0.6527631181042979,1406,0.9054054054054054,0.9907539118065434
arguana,pca_ood,32,0.5190334416449893,1406,0.7716927453769559,0.9601706970128022
fiqa,full,4096,0.6492050788319302,648,0.7349129308620048,0.9314437962586112
fiqa,mrl,512,0.6392784468590517,648,0.7181054156748602,0.9174961184220444
fiqa,mrl,256,0.6173004082708652,648,0.7015146847322773,0.9040818278086796
fiqa,mrl,128,0.5781627161376062,648,0.6558338181023367,0.8756710324997362
fiqa,mrl,64,0.5174214883709267,648,0.6027436683686683,0.8262063510906104
fiqa,mrl,32,0.3650132500667676,648,0.4555714176084546,0.7287759565537343
fiqa,pca_in,512,0.6404045533550574,648,0.7209596858902415,0.922444282397986
fiqa,pca_in,256,0.6233591150006208,648,0.7057443713693714,0.9165642570735164
fiqa,pca_in,128,0.5948460465223154,648,0.6794468220394146,0.9036080303441413
fiqa,pca_in,64,0.5373260952443376,648,0.6282300132994578,0.8738369398091621
fiqa,pca_in,32,0.4387424074168369,648,0.5318951367562479,0.8181216460151645
fiqa,pca_ood,512,0.630929757413697,648,0.7038171961783073,0.9092656657471472
fiqa,pca_ood,256,0.6156472851138202,648,0.6918629253119993,0.9024271638854974
fiqa,pca_ood,128,0.5808537547118298,648,0.6635627275673572,0.8788614634679449
fiqa,pca_ood,64,0.5043870359178753,648,0.5931481156018193,0.8285279021390132
fiqa,pca_ood,32,0.35328208064959166,648,0.42477722037907223,0.7050424626813516
scidocs,full,4096,0.32677962696121154,1000,0.3503,0.691
scidocs,mrl,512,0.3220534909095204,1000,0.3441,0.6766666666666667
scidocs,mrl,256,0.30968185903421624,1000,0.3336833333333334,0.6561500000000001
scidocs,mrl,128,0.28936295942632934,1000,0.30776666666666663,0.6237166666666667
scidocs,mrl,64,0.25913843580552526,1000,0.2768166666666667,0.5671166666666667
scidocs,mrl,32,0.1990557339964629,1000,0.21078333333333335,0.4801166666666667
scidocs,pca_in,512,0.3139868201928434,1000,0.33756666666666674,0.6566333333333333
scidocs,pca_in,256,0.305910739394028,1000,0.3323666666666667,0.6444833333333333
scidocs,pca_in,128,0.291012420502013,1000,0.31418333333333337,0.6307333333333334
scidocs,pca_in,64,0.2639164236482689,1000,0.28140000000000004,0.6018666666666665
scidocs,pca_in,32,0.22459975359712558,1000,0.23868333333333336,0.5563333333333333
scidocs,pca_ood,512,0.3038421016662586,1000,0.32611666666666667,0.6482166666666667
scidocs,pca_ood,256,0.29197283857512224,1000,0.3075166666666667,0.6236833333333334
scidocs,pca_ood,128,0.26674997197293987,1000,0.2828333333333334,0.5770833333333334
scidocs,pca_ood,64,0.22348024372524974,1000,0.23743333333333336,0.5061333333333333
scidocs,pca_ood,32,0.16252241494647754,1000,0.17286666666666667,0.4107166666666667
trec-covid,full,4096,0.9491529680330468,50,0.025716239189456133,0.20572423417330873
trec-covid,mrl,512,0.9506738715641577,50,0.025795749978857817,0.2025624340657034
trec-covid,mrl,256,0.9447006441938047,50,0.025809968925641073,0.1955706511742424
