element,pelican_bicycle,other_cells,diff
grass,0.3333333333333333,0.13677811550151975,0.19655521783181357
cloud,0.6190476190476191,0.44275582573454914,0.17629179331306993
ground,0.3333333333333333,0.16109422492401215,0.17223910840932116
road,0.19047619047619047,0.04559270516717325,0.1448834853090172
sky,0.2857142857142857,0.160081053698075,0.1256332320162107
basket,0.14285714285714285,0.02735562310030395,0.1155015197568389
hill,0.14285714285714285,0.0425531914893617,0.10030395136778114
flower,0.09523809523809523,0.028368794326241134,0.0668693009118541
bag,0.047619047619047616,0.004052684903748734,0.04356636271529888
cap,0.047619047619047616,0.0121580547112462,0.035460992907801414
text,0.047619047619047616,0.013171225937183385,0.034447821681864235
leaf,0.047619047619047616,0.016210739614994935,0.031408308004052685
motion line,0.14285714285714285,0.12158054711246201,0.02127659574468084
hat,0.047619047619047616,0.029381965552178316,0.0182370820668693
flag,0.047619047619047616,0.03546099290780142,0.012158054711246195
sun,0.47619047619047616,0.46403242147923,0.012158054711246147
bird,0.09523809523809523,0.09219858156028368,0.0030395136778115506
scarf,0.09523809523809523,0.11144883485309018,-0.016210739614994946
star,0.047619047619047616,0.1469098277608916,-0.09929078014184398
